               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.032509,            0.012881,           0.0014855,             0.98164,             0.98066,             0.99173,             0.63335,            0.024085,            0.010065,           0.0052578,              0.0055,              0.0055,              0.0055
                  52,            0.031153,            0.013345,           0.0013307,             0.98185,             0.98066,             0.99115,             0.59331,            0.025245,            0.010375,           0.0053538,           0.0053587,           0.0053587,           0.0053587
                  53,            0.030698,            0.013857,           0.0013681,             0.98191,             0.98064,             0.99023,             0.60642,             0.02501,            0.009892,           0.0052995,           0.0052174,           0.0052174,           0.0052174
                  54,            0.032717,            0.013267,           0.0014468,             0.99988,              0.9638,             0.98996,             0.51825,            0.025531,            0.010509,           0.0053084,           0.0050765,           0.0050765,           0.0050765
                  55,            0.032923,            0.012151,           0.0013883,             0.97969,              0.9807,             0.99091,             0.60354,            0.024949,            0.010494,           0.0051766,            0.004936,            0.004936,            0.004936
                  56,            0.032467,            0.015067,           0.0017438,             0.98532,              0.9807,             0.98748,             0.53006,            0.025713,             0.01031,            0.005112,            0.004796,            0.004796,            0.004796
                  57,            0.030498,            0.013125,           0.0014086,             0.98283,             0.98071,             0.99033,             0.60417,            0.024454,           0.0098729,           0.0051068,           0.0046568,           0.0046568,           0.0046568
                  58,            0.029363,            0.012138,           0.0010978,             0.98292,              0.9806,              0.9896,             0.58896,            0.026888,           0.0098542,           0.0052319,           0.0045184,           0.0045184,           0.0045184
                  59,             0.03236,            0.014207,            0.001453,             0.98332,             0.98115,             0.98973,             0.60051,            0.025346,           0.0099896,            0.005235,           0.0043809,           0.0043809,           0.0043809
                  60,            0.030224,             0.01421,           0.0015033,             0.98198,             0.98072,             0.99128,             0.61678,            0.023725,           0.0099609,           0.0052412,           0.0042445,           0.0042445,           0.0042445
                  61,            0.029612,            0.013051,           0.0010294,             0.98097,             0.98068,             0.99101,             0.63121,             0.02319,            0.010022,           0.0052996,           0.0041094,           0.0041094,           0.0041094
                  62,            0.030332,            0.011685,          0.00091679,             0.95454,             0.63763,             0.64952,             0.36868,            0.032398,            0.012321,           0.0087366,           0.0039757,           0.0039757,           0.0039757
                  63,            0.029062,            0.013658,          0.00093694,             0.97275,              0.9807,             0.98967,             0.62952,            0.023961,            0.010194,           0.0052544,           0.0038434,           0.0038434,           0.0038434
                  64,            0.027841,            0.012112,          0.00084016,             0.97937,              0.9807,             0.99033,             0.59345,            0.024449,           0.0097256,            0.005229,           0.0037128,           0.0037128,           0.0037128
                  65,            0.028102,            0.010727,          0.00085286,             0.98283,             0.98139,             0.98866,             0.60516,            0.024156,           0.0097997,            0.005217,            0.003584,            0.003584,            0.003584
                  66,            0.027555,            0.014048,            0.001004,             0.98548,             0.98073,             0.98903,             0.61194,            0.023333,           0.0098383,           0.0052793,            0.003457,            0.003457,            0.003457
                  67,            0.028127,             0.01478,          0.00097622,             0.98378,              0.9807,             0.98951,             0.60831,             0.02404,            0.010054,           0.0052657,           0.0033321,           0.0033321,           0.0033321
                  68,            0.028245,            0.015595,           0.0010619,             0.97334,             0.99143,             0.99069,             0.59213,            0.023086,           0.0096637,           0.0052773,           0.0032093,           0.0032093,           0.0032093
                  69,            0.027382,            0.012596,          0.00087318,              0.9748,             0.99145,             0.99069,              0.6395,            0.023485,           0.0098255,           0.0052371,           0.0030888,           0.0030888,           0.0030888
                  70,            0.027416,             0.01203,          0.00074972,             0.97278,             0.99143,             0.99033,             0.60994,            0.022945,           0.0098589,           0.0051895,           0.0029706,           0.0029706,           0.0029706
                  71,            0.027794,            0.014437,          0.00084525,              0.9818,              0.9807,             0.99043,             0.61626,             0.02308,           0.0099645,           0.0051908,            0.002855,            0.002855,            0.002855
                  72,            0.028039,            0.012434,          0.00095487,             0.97007,             0.99143,             0.99043,             0.61132,            0.023273,            0.010055,           0.0052118,           0.0027419,           0.0027419,           0.0027419
                  73,            0.027294,            0.014217,          0.00086687,             0.96879,             0.99144,             0.98913,              0.6092,            0.022872,           0.0098644,           0.0051251,           0.0026316,           0.0026316,           0.0026316
                  74,            0.026183,            0.011152,          0.00082487,             0.97897,             0.98074,             0.98951,             0.60221,            0.022755,           0.0096792,           0.0050633,           0.0025241,           0.0025241,           0.0025241
                  75,            0.026126,            0.012852,          0.00074534,             0.98009,              0.9807,              0.9901,             0.63339,            0.022769,           0.0097223,           0.0050866,           0.0024195,           0.0024195,           0.0024195
                  76,              0.0263,            0.013842,          0.00067866,             0.98289,             0.98071,             0.98906,             0.60774,             0.02227,           0.0095841,           0.0051374,            0.002318,            0.002318,            0.002318
                  77,            0.025798,            0.014833,          0.00066564,             0.98385,             0.98072,             0.98973,              0.6055,            0.022645,           0.0096651,           0.0052357,           0.0022196,           0.0022196,           0.0022196
                  78,            0.025626,            0.013624,          0.00058625,             0.98483,             0.98072,             0.98894,             0.62368,            0.022861,           0.0097621,           0.0053367,           0.0021245,           0.0021245,           0.0021245
